LOCATION,TIME,MEN,WOMEN,TOT
ARG,1960,60.9,67.6,64
ARG,1961,61.2,68,64.4
ARG,1962,61,68,64.2
ARG,1963,61.2,68.3,64.4
ARG,1964,61,68.3,64.4
ARG,1965,61.2,68.5,64.6
ARG,1966,61.5,68.8,64.9
ARG,1967,61.5,69,65
ARG,1968,61.3,69,64.9
ARG,1969,61.2,69,64.9
ARG,1970,63.3,70,66.5
ARG,1971,62,69.7,65.6
ARG,1972,62,69.5,65.5
ARG,1973,62.4,69.9,65.9
ARG,1974,62.7,70.4,66.3
ARG,1975,62.8,70.7,66.6
ARG,1976,63.3,71.3,67.1
ARG,1977,63.4,71.5,67.2
ARG,1978,63.9,72.2,67.9
ARG,1979,64.4,72.3,68.2
ARG,1980,64.7,72.5,68.5
ARG,1981,64.8,72.5,68.6
ARG,1982,65.1,73.1,69
ARG,1983,65.1,73,68.9
ARG,1984,65.5,73.2,69.3
ARG,1985,65.4,73.2,69.2
ARG,1986,66.1,73.3,69.7
ARG,1987,66.7,73.6,70.1
ARG,1988,67.1,74,70.6
ARG,1989,67.7,74.4,71.1
ARG,1990,68.1,74.7,71.4
ARG,1991,68.6,75,71.8
ARG,1992,69,75.6,72.3
ARG,1993,69.1,75.7,72.4
ARG,1994,69.2,75.9,72.6
ARG,1995,70.2,76,73.2
ARG,1996,70,76.2,73.1
ARG,1997,70.1,76.4,73.3
ARG,1998,69.7,76.5,73.1
ARG,1999,70.1,76.8,73.5
ARG,2000,70.4,77,73.7
ARG,2001,70.6,77.2,73.9
ARG,2002,70.7,77.6,74.2
ARG,2003,70.8,78.1,74.4
ARG,2004,70.8,77.3,74.1
ARG,2005,71.5,78.1,74.9
ARG,2006,71.7,78.5,75.1
ARG,2007,72.1,78.7,75.4
ARG,2008,71.5,78.5,75
ARG,2009,72.3,78.9,75.6
ARG,2010,72.7,79.1,75.9
ARG,2011,72.5,78.8,75.7
ARG,2012,72.8,79.3,76.1
ARG,2013,72.9,80,76.5
ARG,2014,73,79.9,76.5
ARG,2015,73.4,80,76.8
ARG,2016,73.3,80.2,76.8
